time:ms  value:
   0     0.000000
   2     0.000000
   4     0.000000
   6     0.000000
   8     0.000000
  10     0.000000
  12     0.000000
  14     0.000000
  16     0.000000
  18     0.000000
  20     0.000000
  22     0.000000
  24     0.000000
  26     0.000000
  28     0.000000
  30     0.000000
  32     0.000000
  34     0.000000
  36     0.000000
  38     0.000000
  40     0.000000
  42     0.000000
  44     0.000000
  46     0.000000
  48     0.000000
  50     0.000000
  52     0.000000
  54     0.000000
  56     0.000000
  58     0.000000
  60     0.000000
  62     0.000000
  64     0.000000
  66     0.000000
  68     0.000000
  70     0.000000
  72     0.000000
  74     0.000000
  76     0.000000
  78     0.000000
  80     0.000000
  82     0.000000
  84     0.000000
  86     0.000000
  88     0.000000
  90     0.000000
  92     0.000000
  94     0.000000
  96     0.000000
  98     0.000000
 100     0.000000
 102     0.000000
 104     0.000000
 106     0.000000
 108     0.000000
 110     0.000000
 112     0.000000
 114     0.000000
 116     0.000000
 118     0.000000
 120     0.000000
 122     0.000000
 124     0.000000
 126     0.000000
 128     0.000000
 130     0.000000
 132     0.000000
 134     0.000000
 136     0.000000
 138     0.000000
 140     0.000000
 142     0.000000
 144     0.000000
 146     0.000000
 148     0.000000
 150     0.000000
 152     0.000000
 154     0.000000
 156     0.000000
 158     0.000000
 160     0.000000
 162     0.000000
 164     0.000000
 166     0.000000
 168     0.000000
 170     0.000000
 172     0.000000
 174     0.000000
 176     0.000000
 178     0.000000
 180     0.000000
 182     0.000000
 184     0.000000
 186     0.000000
 188     0.000000
 190     0.000000
 192     0.000000
 194     0.000000
 196     0.000000
 198     0.000000
 200     0.000000
 202     0.000000
 204     0.000000
 206     0.000000
 208     0.000000
 210     0.000000
 212     0.000000
 214     0.000000
 216     0.000000
 218     0.000000
 220     0.000000
 222     0.000000
 224     0.000000
 226     0.000000
 228     0.000000
 230     0.000000
 232     0.000000
 234     0.000000
 236     0.000000
 238     0.000000
 240     0.000000
 242     0.000000
 244     0.000000
 246     0.000000
 248     0.000000
 250     0.000000
 252     -246.755905
 254     -740.267578
 256     -493.511719
 258     493.511719
 260     1727.291260
 262     2220.803223
 264     1480.535400
 266     0.000000
 268     -1727.291260
 270     -3207.826660
 272     -4194.847656
 274     -3948.094482
 276     -987.023438
 278     4194.847656
 280     8142.941406
 282     7155.917969
 284     987.023438
 286     -6415.652344
 288     -10116.992188
 290     -7402.675781
 292     -1727.291260
 294     3454.582764
 296     6168.894531
 298     7402.675781
 300     7402.675781
 302     5181.871094
 304     -493.511719
 306     -6909.164063
 308     -10116.992188
 310     -7155.917969
 312     -987.023438
 314     4441.605469
 316     6168.894531
 318     6415.652344
 320     7896.187500
 322     11104.015625
 324     12831.304688
 326     9623.480469
 328     1480.535400
 330     -7896.187500
 332     -12584.550781
 334     -10116.992188
 336     -2961.070801
 338     3207.826660
 340     3701.338623
 342     -740.267578
 344     -5181.871094
 346     -5428.628906
 348     -2467.559082
 350     -740.267578
 352     -3207.826660
 354     -8142.941406
 356     -10857.257813
 358     -10363.746094
 360     -7649.429688
 362     -4688.359375
 364     -1974.047119
 366     2467.559082
 368     8142.941406
 370     13324.816406
 372     14558.597656
 374     10116.992188
 376     1727.291260
 378     -7402.675781
 380     -12584.550781
 382     -12091.039063
 384     -7155.917969
 386     -493.511719
 388     4688.359375
 390     7402.675781
 392     7896.187500
 394     6662.406250
 396     5181.871094
 398     3948.094482
 400     3948.094482
 402     5675.382813
 404     7896.187500
 406     8389.699219
 408     4688.359375
 410     -2961.070801
 412     -10363.746094
 414     -12584.550781
 416     -7896.187500
 418     -740.267578
 420     1727.291260
 422     -3454.582764
 424     -13078.062500
 426     -20727.496094
 428     -21961.273438
 430     -16532.644531
 432     -6662.406250
 434     4935.117188
 436     15545.621094
 438     20727.496094
 440     19246.960938
 442     12831.304688
 444     5675.382813
 446     -493.511719
 448     -5181.871094
 450     -7649.429688
 452     -3701.338623
 454     6662.406250
 456     16779.402344
 458     17766.425781
 460     8636.457031
 462     -2714.314941
 464     -8142.941406
 466     -8636.457031
 468     -10610.503906
 470     -14558.597656
 472     -13818.328125
 474     -3701.338623
 476     9870.234375
 478     15545.621094
 480     9376.722656
 482     -1233.779541
 484     -6168.894531
 486     -3207.826660
 488     1233.779541
 490     2220.803223
 492     1727.291260
 494     4194.847656
 496     10363.746094
 498     14805.351563
 500     11844.281250
 502     740.267578
 504     -11597.527344
 506     -17519.667969
 508     -13818.328125
 510     -4935.117188
 512     1480.535400
 514     987.023438
 516     -3948.094482
 518     -7155.917969
 520     -4688.359375
 522     1974.047119
 524     8142.941406
 526     11597.527344
 528     12584.550781
 530     12091.039063
 532     9376.722656
 534     740.267578
 536     -12831.304688
 538     -25662.613281
 540     -30597.730469
 542     -24675.589844
 544     -11597.527344
 546     2220.803223
 548     13571.574219
 550     21714.519531
 552     27143.148438
 554     28376.929688
 556     24182.078125
 558     17272.914063
 560     10363.746094
 562     5181.871094
 564     -493.511719
 566     -7896.187500
 568     -16532.644531
 570     -24428.832031
 572     -30597.730469
 574     -31338.000000
 576     -31338.000000
 578     -27143.148438
 580     -16039.132813
 582     -3207.826660
 584     8142.941406
 586     18013.179688
 588     26156.125000
 590     30350.976563
 592     27143.148438
 594     16285.886719
 596     2961.070801
 598     -6662.406250
 600     -10610.503906
 602     -10610.503906
 604     -7649.429688
 606     -987.023438
 608     8883.210938
 610     18259.937500
 612     22208.031250
 614     19740.472656
 616     13818.328125
 618     7402.675781
 620     987.023438
 622     -6168.894531
 624     -11844.281250
 626     -12337.792969
 628     -5675.382813
 630     4688.359375
 632     12831.304688
 634     14311.839844
 636     7649.429688
 638     -4935.117188
 640     -20480.738281
 642     -31338.000000
 644     -31338.000000
 646     -31338.000000
 648     -31338.000000
 650     -10857.257813
 652     9129.968750
 654     20480.738281
 656     21714.519531
 658     18506.691406
 660     16779.402344
 662     17026.156250
 664     16039.132813
 666     11597.527344
 668     6415.652344
 670     4441.605469
 672     5428.628906
 674     5181.871094
 676     -493.511719
 678     -11350.769531
 680     -22454.785156
 682     -29610.707031
 684     -29610.707031
 686     -21467.761719
 688     -6909.164063
 690     10116.992188
 692     24428.832031
 694     31338.000000
 696     31338.000000
 698     28623.683594
 700     20974.250000
 702     13324.816406
 704     9623.480469
 706     12337.792969
 708     17766.425781
 710     18259.937500
 712     7896.187500
